Wow... Loved this place.	1
I learned that if an electric slicer is used the blade becomes hot enough to start to cook the prosciutto.	
But they don't clean the chiles?	
Crust is not good.	0
Not tasty and the texture was just nasty.	0
Pancake was WAY bigger than I thought and kind of regretted getting now since I couldn't finish it.	
Thai Orchid's menu offers a vast choice of authentic Thai dishes.	
I guess if you're eating here, you don't really give a shit about money though.	
Sure, it's good, but it's garlic bread.	
My tortillas were falling apart from the grease and from the large quantity of the meat, cheese, and cabbage.	
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	1
The selection on the menu was great and so were the prices.	1
Now I am getting angry and I want my damn pho.	0
Honeslty it didn't taste THAT fresh.)	0
Price was very reasonable.	
Watery espresso with no crema--none.	
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
They seem to be sautéed and are in large chunks not wussy little minced things.	
The fries were great too.	1
A great touch.	1
That wasn't even all that great to begin with?	
One of the amazing berry crumb pies?	
We ordered 2 $.99 Margaritas - they couldnt get the machine to work because it was frozen so refunded our money.	
Service was very prompt.	1
Would not go back.	0
I never know who is my actual server or who to order anything from.	
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	0
Oh Sura... A Carnivore's Playground!	
I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!	1
I suggest upgrading the broth.	
I was disgusted because I was pretty sure that was human hair.	0
This is your typical wanna be Phoenix version of the Irish Bar.	
I can't compare it to the Persian food that I've eaten in Tehran but it was pretty good.	
I was shocked because no signs indicate cash only.	0
Highly recommended.	1
Good thing I tip in cash and didn't pre-tip... So, no refund, cannot find the number for Madison's delivery service, etc.	
Stopped in last night for dinner....around 7ish...so a little busy, not crazy, but steady.	
Additionally, there's no Salsa on it.....and there is no Salsa Bar.	
3 Blind Moose house wine for 3 bucks.	
Its right near Chandler High School so it gets really crowded around lunch time M-F.	
In retrospect, I wondered why they sat us there.	
About the 3rd time this happened I finally put my foot down and looked up Papa John's website.	
I'd do better with the peanuts on the flight.	
Do either one of them offer to bring me fresh fluffy eggs?	
If anything the meat was slightly on the dry side.	
I was puissed because we diddnt have it on us.	
:-) If you're coming from the south just turn left on Oakey and then right into the Pizza Hut parking lot, it's behind Pizza Hut.	
When I asked about some of the dishes, they directed me away from those that they didn't think we'd appreciate.	
The mushrooms had very good flavor but I would have like more caps than stems.	
I've been here twice already and both times I ordered the bento box.	
Waitress was a little slow in service.	0
This place is not worth your time, let alone Vegas.	0
did not like at all.	0
The Burrittos Blah!	0
Pointed to it on the menu.	
My friend and I stood between several tables with people at them looking at us looking at them.	
Expect a full house, with plenty of noise.	
The food, amazing.	1
Service is also cute.	1
I could care less... The interior is just beautiful.	1
After complaining and doing an incident report we were moved to a room on the 17th floor.	
So they performed.	1
That's okay though, because I'm old enough that I can tolerate things I don't like a lot better than when I was younger.	
You get quite friendly with your neighbors, which is good if you are social, or if you just want to look at their food.	
They even have coca-cola in the bottle!	
This is NOT an upscale place - they're in a strip mall - and they should be pleased to greet any guest walking through the door.	
See ya next time, ehhhh ciao	
That's right....the red velvet cake.....ohhh this stuff is so good.	1
: ) Despite service issues, I would definitely return and highly recommend!	
His attitude is that he doesn't eat decor or tablecloths, he eats food... and you know, he is right.	
- They never brought a salad we asked for.	0
This hole in the wall has great Mexican street tacos, and friendly staff.	1
Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	0
The worst was the salmon sashimi.	0
I asked for a steak knife - which it should have been served with.	
I live in Henderson, and commute to work as I must, I now wake up on my days off and gladly make the drive to try something new.	
I only ate 1 bite, and the shrimp itself was tasty.	
Cheese is good friend of mine.	
Also there are combos like a burger, fries, and beer for 23 which is a decent deal.	1
This was like the final blow!	0
